Название	Цена	Ссылка	Размеры	Изображение
Pinstripe Vest - ULK Olivia	52,80€	https://ulanka.com/en-eu/products/chaleco-raya-diplomatica-ulk-olivia?utm_source=shopthelook&utm_medium=organic	11, 12, 13, 10, 14, 35, 36, 37, 38, 39, 40, 41	https://cdn.shopify.com/s/files/1/0661/3830/8872/files/3_fbbdfb43-26ce-41d3-8e8c-9c7ad541a91a.jpg?v=1758814024
Baggy jeans - ULK Nia	59,96€	https://ulanka.com/en-eu/products/jeans-baggy-ulk-nia-1?utm_source=shopthelook&utm_medium=organic	10, 11, 12, 13, 14	https://ulanka.com/cdn/shop/files/3_fbbdfb43-26ce-41d3-8e8c-9c7ad541a91a.jpg?height=512&v=1758814024
Blue poplin shirt - ULK Alina	64,95€	https://ulanka.com/en-eu/products/camisa-regular-fit-ulk-alina?utm_source=shopthelook&utm_medium=organic	10, 11, 12, 13, 14	https://ulanka.com/cdn/shop/files/Camisa-regular-fit---ULK-Alina-Stripes-blu-9348223-1.png?height=512&v=1758552786
Animal print leather bag - ULK Laila	104,76€	https://ulanka.com/en-eu/products/bolso-de-piel-estampado-animal?utm_source=shopthelook&utm_medium=organic	35	https://ulanka.com/cdn/shop/files/0198169-P-P-S-24-38.jpg?height=512&v=1764329860
Leather sneakers - ULK Pierce	51,96€	https://ulanka.com/en-eu/products/ulk-pierce-zapatillas-de-piel?utm_source=shopthelook&utm_medium=organic	36, 37, 38, 39, 40, 41	https://ulanka.com/cdn/shop/files/ULK-Pierce---Zapatillas-de-piel-Snd-2213374-1.jpg?height=512&v=1753956019
